광역시도,시군구,읍면동,세부지역,지역유형
인천,중구,무의,,ISLAND
인천,옹진군,덕적,,ISLAND
인천,옹진군,북도,,ISLAND
인천,옹진군,영흥,,ISLAND
인천,옹진군,자월,,ISLAND
인천,옹진군,장봉,,ISLAND
인천,옹진군,백령,,ISLAND
인천,옹진군,대청,,ISLAND
인천,옹진군,소청,,ISLAND
인천,옹진군,연평,,ISLAND
인천,강화군,서도면,,ISLAND
경기,안산시 단원구,풍도동,,ISLAND
충남,보령시,오천면,삽시도리,ISLAND
충남,보령시,오천면,원산도리,ISLAND
충남,보령시,오천면,효자도리,ISLAND
충남,보령시,오천면,외연도리,DELIVERY_IMPOSSIBLE
충남,보령시,오천면,녹도리,DELIVERY_IMPOSSIBLE
충남,보령시,오천면,외연도,DELIVERY_IMPOSSIBLE
충남,보령시,오천면,호도,DELIVERY_IMPOSSIBLE
충남,보령시,오천면,녹도,DELIVERY_IMPOSSIBLE
충남,태안군,,나암도,ISLAND
충남,태안군,,가의도리,ISLAND
경남,거제시,사등면,창호리,ISLAND
경남,통영시,사량면,,ISLAND
경남,통영시,욕지면,,ISLAND
경남,통영시,한산면,,ISLAND
경남,창원시 진해구,,연도동,ISLAND
경남,창원시 진해구,,수도동,ISLAND
경남,창원시 진해구,,우도동,ISLAND
경남,창원시 진해구,,명동 산 1,ISLAND
경남,사천시,,늑도동,ISLAND
경남,사천시,,마도동,ISLAND
경남,사천시,,신수동,ISLAND
전북,군산시,옥도면,고군산군도,ISLAND
전북,군산시,옥도면,어청도,ISLAND
전북,군산시,옥도면,말도,ISLAND
전북,군산시,옥도면,방축도,ISLAND
전북,군산시,옥도면,비안도,ISLAND
전북,군산시,옥도면,명도,ISLAND
전북,군산시,옥도면,개야도,ISLAND
전북,군산시,옥도면,두리도,ISLAND
전북,군산시,옥도면,연도,ISLAND
전북,군산시,옥도면,관리도,ISLAND
전북,군산시,옥도면,죽도,ISLAND
전북,군산시,내초동,,ISLAND
전북,부안군,위도면,,ISLAND
전남,신안군,지도읍,선도리,ISLAND
전남,신안군,지도읍,어의리,ISLAND
전남,신안군,압해읍,매화리,ISLAND
전남,신안군,압해읍,고이리,ISLAND
전남,신안군,압해읍,가란리,ISLAND
전남,신안군,임자면,,ISLAND
전남,신안군,증도면,,ISLAND
전남,신안군,비금면,,ISLAND
전남,신안군,도초면,,ISLAND
전남,신안군,흑산면,,ISLAND
전남,신안군,하의면,,ISLAND
전남,신안군,신의면,,ISLAND
전남,신안군,장산면,,ISLAND
전남,여수시,,경호동,ISLAND
전남,여수시,,묘동,ISLAND
전남,여수시,삼산면,(전체),ISLAND
전남,여수시,남면,유송리,ISLAND
전남,여수시,남면,우학리,ISLAND
전남,여수시,남면,도리,ISLAND
전남,여수시,남면,심포리,ISLAND
전남,여수시,남면,학동리,ISLAND
전남,여수시,남면,안도리,ISLAND
전남,여수시,남면,연도리,ISLAND
전남,여수시,화정면,개도리,ISLAND
전남,여수시,화정면,상화리,ISLAND
전남,여수시,화정면,하화리,ISLAND
전남,여수시,화정면,사도리,ISLAND
전남,여수시,화정면,여자리,ISLAND
전남,여수시,화정면,월호리,ISLAND
전남,고흥군,도양읍,특량리,ISLAND
전남,고흥군,도양읍,시산리,ISLAND
전남,고흥군,도양읍,봉암리,ISLAND
전남,고흥군,도양읍,상화도길,ISLAND
전남,고흥군,도양읍,하화도길,ISLAND
전남,고흥군,금산면,신전리,ISLAND
전남,고흥군,금산면,연홍길,ISLAND
전남,영광군,낙월면,,ISLAND
전남,영광군,석만면,,ISLAND
전남,강진군,,적동,ISLAND
전남,강진군,,도암,ISLAND
전남,장흥군,,회진,ISLAND
전남,완도군,금일읍,,ISLAND
전남,완도군,노화읍,,ISLAND
전남,완도군,군외면,,ISLAND
전남,완도군,신지면,,ISLAND
전남,완도군,고금면,,ISLAND
전남,완도군,약산면,,ISLAND
전남,완도군,청산면,,ISLAND
전남,완도군,소안면,,ISLAND
전남,완도군,보길면,,ISLAND
전남,완도군,금당면,,ISLAND
전남,완도군,생일면,,ISLAND
전남,목포시,,고하도,ISLAND
전남,목포시,,달도,ISLAND
전남,목포시,,율도,ISLAND
전남,진도군,,고군,ISLAND
전남,진도군,,조도,ISLAND
전남,진도군,,지산,ISLAND
경북,울릉군,태하,,ISLAND
경북,울릉군,북면,,ISLAND
경북,울릉군,서면,,ISLAND
제주,제주시,,추자도,ISLAND
제주,제주시,,우도,ISLAND
제주,제주시,,비양도,ISLAND
제주,서귀포시,,추자,ISLAND
제주,서귀포시,,가파,ISLAND
제주,서귀포시,,마라,ISLAND
